"Study","Condition","Participant","Passed_Comp_Test","Position","Chose_Prioritarian","Repeat","Motiv_To_Change","Motiv_To_Maximize","Motiv_To_Prioritize","Risk","Pol_A","Pol_B","Rater_1_Fairness","Rater_2_Fairness","Fairness_Reasoning"
4,"C",1,FALSE,4,1,0,TRUE,1,0,3,5,8,0,0,0
4,"V",2,TRUE,2,0,1,FALSE,0,0,6,0,2,0,0,0
4,"C",3,TRUE,3,1,0,TRUE,1,0,4,4,7,0,0,0
4,"C",4,TRUE,3,1,1,TRUE,1,0,2,2,5,1,1,1
4,"C",5,TRUE,3,0,1,FALSE,0,0,8,4,7,0,0,0
4,"C",6,TRUE,2,0,1,FALSE,0,0,10,4,6,0,0,0
4,"C",7,FALSE,1,0,0,TRUE,0,1,5,4,6,0,0,0
4,"C",8,TRUE,2,0,1,FALSE,0,0,4,2,4,0,0,0
4,"C",9,FALSE,2,1,1,FALSE,0,0,3,2,3,0,0,0
4,"C",10,FALSE,4,1,0,FALSE,0,0,7,2,3,1,0,0
4,"C",11,TRUE,4,1,0,FALSE,0,0,3,4,4,1,1,1
4,"C",12,FALSE,1,0,1,TRUE,0,1,8,4,6,0,1,0
4,"C",13,FALSE,3,0,0,FALSE,0,0,7,1,2,0,0,0
4,"C",14,TRUE,4,1,1,TRUE,1,0,2,2,4,0,0,0
4,"C",15,FALSE,4,0,1,FALSE,0,0,7,4,6,0,0,0
4,"C",16,TRUE,2,0,1,TRUE,0,1,7,1,4,0,0,0
4,"C",17,TRUE,3,1,0,TRUE,1,0,3,4,5,0,0,0
4,"C",18,TRUE,1,0,0,TRUE,0,1,9,3,5,0,0,0
4,"C",19,TRUE,2,1,1,FALSE,0,0,8,0,0,1,1,1
4,"C",20,FALSE,3,1,0,FALSE,0,0,5,4,6,0,0,0
4,"C",21,TRUE,2,1,1,FALSE,0,0,3,1,2,1,1,1
4,"C",22,TRUE,4,1,1,FALSE,0,0,3,0,1,1,1,1
4,"C",23,FALSE,3,1,1,TRUE,1,0,3,1,2,1,1,1
4,"C",24,TRUE,1,0,1,FALSE,0,0,7,3,5,0,0,0
4,"C",25,TRUE,3,0,0,FALSE,0,0,1,3,5,1,1,1
4,"C",26,TRUE,3,1,0,TRUE,1,0,7,0,2,0,0,0
4,"C",27,TRUE,4,1,0,TRUE,1,0,6,3,5,0,0,0
4,"C",28,TRUE,2,0,1,FALSE,0,0,3,4,5,0,0,0
4,"C",29,TRUE,4,1,1,FALSE,0,0,4,1,2,0,0,0
4,"C",30,FALSE,4,1,1,FALSE,0,0,9,1,1,0,0,0
4,"C",31,TRUE,4,1,1,FALSE,0,0,7,3,4,0,0,0
4,"V",32,TRUE,4,1,0,FALSE,0,0,7,2,3,0,0,0
4,"V",33,FALSE,3,0,1,FALSE,0,0,0,3,5,0,0,0
4,"V",34,TRUE,3,1,1,TRUE,1,0,5,2,4,0,0,0
4,"V",35,TRUE,4,1,1,FALSE,0,0,5,1,2,0,0,0
4,"V",36,FALSE,1,1,1,FALSE,0,0,1,0,2,0,0,0
4,"V",37,TRUE,2,0,0,FALSE,0,0,7,3,5,0,0,0
4,"V",38,TRUE,4,0,1,FALSE,0,0,8,4,7,0,0,0
4,"V",39,FALSE,2,0,0,FALSE,0,0,6,2,3,0,0,0
4,"V",40,TRUE,1,0,1,FALSE,0,0,9,3,5,0,0,0
4,"V",41,TRUE,2,0,1,TRUE,0,1,6,2,3,0,0,0
4,"V",42,TRUE,3,1,1,FALSE,0,0,4,4,6,0,0,0
4,"V",43,TRUE,1,0,0,FALSE,0,0,8,6,8,0,0,0
4,"V",44,FALSE,4,1,1,FALSE,0,0,9,0,0,1,1,1
4,"V",45,TRUE,3,1,1,TRUE,1,0,7,3,5,1,1,1
4,"V",46,TRUE,4,1,1,TRUE,1,0,3,1,4,1,1,1
4,"V",47,TRUE,4,1,0,FALSE,0,0,4,1,3,0,0,0
4,"V",48,TRUE,4,1,1,FALSE,0,0,5,0,0,1,1,1
4,"V",49,TRUE,3,0,1,FALSE,0,0,5,5,8,0,0,0
4,"V",50,TRUE,1,1,1,FALSE,0,0,1,3,4,0,0,0
4,"V",51,TRUE,3,1,1,TRUE,1,0,7,3,5,1,1,1
4,"V",52,FALSE,3,0,1,FALSE,0,0,6,3,6,0,0,0
4,"V",53,TRUE,1,1,0,FALSE,0,0,2,3,5,1,1,1
4,"V",54,TRUE,2,0,0,TRUE,0,1,7,2,3,0,0,0
4,"V",55,TRUE,3,1,1,TRUE,1,0,2,3,5,1,1,1
4,"V",56,TRUE,1,0,1,FALSE,0,0,4,4,6,0,0,0
4,"V",57,TRUE,2,1,1,FALSE,0,0,6,1,1,1,1,1
4,"V",58,TRUE,1,1,0,FALSE,0,0,3,1,1,0,0,0
4,"V",59,TRUE,2,0,0,TRUE,0,1,5,5,7,1,1,1
4,"V",60,TRUE,2,0,1,FALSE,0,0,3,2,4,0,0,0
4,"V",61,TRUE,1,1,1,FALSE,0,0,3,1,1,1,1,1
4,"V",62,TRUE,3,1,1,FALSE,0,0,7,0,0,0,0,0
4,"V",63,TRUE,3,1,1,FALSE,0,0,4,2,4,1,1,1
4,"V",64,FALSE,2,0,0,FALSE,0,0,5,1,2,0,0,0
4,"V",65,TRUE,2,1,0,FALSE,0,0,2,3,5,0,1,0
4,"V",66,TRUE,1,0,1,TRUE,0,1,6,2,2,0,0,0
4,"V",67,TRUE,3,0,1,FALSE,0,0,9,2,2,0,0,0
4,"V",68,TRUE,2,0,1,FALSE,0,0,4,2,4,0,0,0
4,"V",69,FALSE,1,1,1,FALSE,0,0,1,1,2,1,1,1
4,"V",70,TRUE,4,1,0,TRUE,1,0,1,5,7,1,1,1
4,"V",71,TRUE,4,0,1,FALSE,0,0,6,2,5,0,0,0
4,"V",72,TRUE,4,1,1,FALSE,0,0,4,0,1,1,0,0
4,"C",73,TRUE,2,0,1,FALSE,0,0,6,4,7,0,0,0
4,"C",74,TRUE,2,0,0,TRUE,0,1,5,1,3,1,0,0
4,"V",75,TRUE,2,1,0,FALSE,0,0,5,3,5,0,0,0
4,"V",76,TRUE,2,1,1,FALSE,0,0,8,2,4,1,1,1
4,"C",77,TRUE,3,1,0,FALSE,0,0,6,1,3,0,0,0
4,"C",78,TRUE,3,1,0,FALSE,0,0,8,2,4,0,0,0
4,"C",79,FALSE,3,1,1,FALSE,0,0,1,3,5,0,0,0
4,"V",80,TRUE,2,0,1,FALSE,0,0,4,2,4,0,0,0
4,"C",81,TRUE,2,0,0,TRUE,0,1,5,4,5,0,0,0
4,"V",82,TRUE,2,1,1,FALSE,0,0,6,4,6,1,0,0
4,"V",83,TRUE,1,1,0,FALSE,0,0,6,1,4,1,1,1
4,"V",84,TRUE,1,0,0,TRUE,0,1,8,2,5,0,0,0
4,"V",85,TRUE,2,0,1,FALSE,0,0,5,5,7,0,0,0
4,"V",86,TRUE,2,0,0,TRUE,0,1,8,1,1,0,0,0
4,"C",87,TRUE,3,0,1,FALSE,0,0,10,3,5,1,1,1
4,"C",88,TRUE,1,0,1,FALSE,0,0,7,5,7,0,0,0
4,"C",89,TRUE,3,0,1,FALSE,0,0,3,3,5,0,0,0
4,"C",90,FALSE,1,0,1,FALSE,0,0,7,4,5,0,0,0
4,"V",91,FALSE,3,0,1,FALSE,0,0,0,4,6,0,0,0
4,"V",92,TRUE,3,0,1,FALSE,0,0,7,2,4,0,0,0
4,"C",93,FALSE,4,1,0,FALSE,0,0,8,5,2,0,0,0
4,"C",94,TRUE,2,1,1,FALSE,0,0,7,1,2,0,0,0
4,"V",95,TRUE,4,1,1,FALSE,0,0,2,0,0,1,1,1
4,"C",96,FALSE,1,1,1,FALSE,0,0,7,3,5,1,1,1
4,"C",97,TRUE,1,0,1,FALSE,0,0,3,0,1,0,0,0
4,"C",98,TRUE,1,0,1,TRUE,0,1,7,4,7,0,0,0
4,"V",99,TRUE,2,0,1,FALSE,0,0,7,3,5,0,0,0
4,"C",100,TRUE,1,0,1,TRUE,0,1,1,4,5,0,0,0
4,"V",101,TRUE,4,0,0,FALSE,0,0,2,4,5,0,0,0
4,"V",102,TRUE,1,1,1,FALSE,0,0,2,1,2,1,1,1
4,"V",103,FALSE,4,1,0,FALSE,0,0,5,0,0,1,1,1
4,"C",104,TRUE,2,0,1,FALSE,0,0,3,5,7,0,0,0
4,"C",105,FALSE,2,1,1,FALSE,0,0,10,1,5,1,1,1
4,"V",106,TRUE,4,1,1,FALSE,0,0,8,4,6,0,0,0
4,"C",107,TRUE,3,1,1,TRUE,1,0,4,2,3,1,1,1
4,"V",108,TRUE,2,0,0,TRUE,0,1,5,2,4,0,0,0
4,"V",109,TRUE,2,1,1,FALSE,0,0,4,1,3,0,0,0
4,"V",110,TRUE,4,1,1,FALSE,0,0,5,4,5,1,1,1
4,"V",111,TRUE,2,1,0,FALSE,0,0,5,3,3,0,1,1
4,"V",112,TRUE,4,1,0,TRUE,1,0,0,3,5,0,0,0
4,"V",113,TRUE,4,1,1,FALSE,0,0,3,1,2,1,1,1
4,"V",114,TRUE,1,0,1,FALSE,0,0,5,0,1,0,0,0
4,"V",115,TRUE,4,1,1,FALSE,0,0,7,1,3,1,1,1
4,"V",116,TRUE,3,0,1,FALSE,0,0,7,5,7,0,0,0
4,"V",117,TRUE,4,1,1,FALSE,0,0,6,2,4,1,1,1
4,"V",118,TRUE,1,1,0,FALSE,0,0,5,3,5,1,1,1
4,"V",119,TRUE,4,1,1,TRUE,1,0,5,1,2,1,1,1
4,"V",120,FALSE,1,1,1,FALSE,0,0,4,1,2,1,1,1
4,"V",121,TRUE,4,0,1,FALSE,0,0,4,3,5,0,0,0
4,"V",122,TRUE,2,0,0,TRUE,0,1,8,1,2,0,0,0
4,"V",123,TRUE,4,1,0,FALSE,0,0,8,3,4,0,0,0
4,"V",124,TRUE,1,1,1,FALSE,0,0,6,2,5,0,0,0
4,"V",125,TRUE,1,1,1,FALSE,0,0,4,0,1,1,1,1
4,"V",126,TRUE,3,0,0,FALSE,0,0,1,1,1,0,0,0
4,"V",127,TRUE,4,1,1,FALSE,0,0,6,1,1,0,0,0
4,"V",128,TRUE,2,1,1,FALSE,0,0,7,2,4,1,1,1
4,"V",129,TRUE,1,1,0,FALSE,0,0,8,5,9,0,0,0
4,"V",130,FALSE,3,0,0,FALSE,0,0,8,4,5,0,0,0
4,"V",131,TRUE,4,1,0,TRUE,1,0,5,3,5,0,0,0
4,"V",132,TRUE,1,0,0,TRUE,0,1,7,4,6,0,0,0
4,"C",133,TRUE,2,0,1,TRUE,0,1,8,2,2,0,0,0
4,"C",134,TRUE,2,0,0,TRUE,0,1,6,5,6,0,0,0
4,"C",135,TRUE,3,1,0,TRUE,1,0,6,3,4,0,0,0
4,"C",136,TRUE,3,1,1,FALSE,0,0,2,1,1,0,0,0
4,"C",137,TRUE,2,0,1,TRUE,0,1,3,2,2,0,0,0
4,"C",138,TRUE,3,1,0,FALSE,0,0,6,1,3,0,0,0
4,"C",139,FALSE,2,0,1,FALSE,0,0,8,1,2,0,0,0
4,"C",140,TRUE,2,0,0,TRUE,0,1,6,2,5,0,0,0
4,"V",141,TRUE,2,1,1,FALSE,0,0,7,1,2,1,1,1
4,"C",142,FALSE,2,1,1,FALSE,0,0,7,2,5,0,0,0
4,"C",143,TRUE,2,0,1,FALSE,0,0,5,3,5,0,0,0
4,"V",144,TRUE,4,0,1,FALSE,0,0,7,3,5,0,0,0
4,"C",145,TRUE,3,0,1,FALSE,0,0,4,3,5,0,0,0
4,"V",146,TRUE,4,1,0,TRUE,1,0,3,4,4,0,0,0
